資料日期,資料時間,代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,投資人成交買賣別,暫停交易開始時間,成交量,進度日期,上市櫃進度
"1150211","163004","1260","富味鄉","20.87","20.4","3000","21.35","2900","21.35","20.5","21.08","21.35","B","000000","18237","",""
"1150211","163004","1269","乾杯","69.15","66.1","2998","69.3","2995","69.3","66.1","68.39","69.3","B","000000","7","",""
"1150211","163004","1271","晨暉生技","59.74","57.2","6000","57.7","3000","59.2","57","57.7","57.9","B","000000","99631","",""
"1150211","163004","1293","利統","27.44","27.3","3000","28.3","3000","28.5","28.5","28.5","28.5","B","000000","17","",""
"1150211","163004","1343","旭東環保","27.99","26.4","3000","26.8","6478","28.15","25.65","26.7","26.8","B","000000","57012","",""
"1150211","163004","1480","東盟開發","9.89","9.53","5000","9.95","5000","9.94","9.5","9.74","9.94","B","000000","22000","",""
"1150211","163004","1594","日高","8.47","8.05","10000","8.47","10000","0","0","0","0","","000000","0","",""
"1150211","163004","1780","立弘","24.58","24.2","1000","24.4","4994","24.5","24.2","24.31","24.4","B","000000","59476","20260128","E"
"1150211","163004","2071","震南鐵","18.15","17.8","10000","18.1","5000","18.25","17.8","17.99","18","B","000000","19711","",""
"1150211","163004","2072","世紀風電","300.24","300.5","6000","302.5","1999","303","300.5","301.91","302.5","B","000000","156054","20251104","e"
"1150211","163004","2237","華德動能","31.13","31.1","3000","31.6","3000","31.7","31","31.22","31.4","B","000000","44604","20260203","l"
"1150211","163004","2245","詠勝昌*","26.97","26.9","5945","27.55","2960","28.2","26.9","27.31","27.55","B","000000","136","",""
"1150211","163004","2249","湧盛","128.48","125","4000","128","4000","129","124.5","125.7","125.5","S","000000","75724","",""
"1150211","163004","2252","為昇科","15.83","15.75","4998","15.9","4979","15.95","15.65","15.8","15.75","S","000000","60746","",""
"1150211","163004","2255","凱銳光電","19.98","19.9","9284","20.2","3000","20.1","19.9","20.02","20","S","000000","14896","",""
"1150211","163004","2256","歐特明","35.08","35.85","3000","37.4","6000","38.15","35","36.83","35.8","B","000000","152781","",""
"1150211","163004","2644","中信造船","91.35","91.2","3000","92","998","95.3","90.7","91.42","92","B","000000","65164","",""
"1150211","163004","2733","維格餅家","13.5","12.85","5000","13","5000","13.5","12.95","12.96","13","B","000000","5351","",""
"1150211","163004","2741","老四川","27.01","26.9","1000","27.2","2000","27.2","26.85","26.95","27.2","B","000000","84875","",""
"1150211","163004","2758","路易莎咖啡","90.1","89.8","3000","90.6","2975","90.6","89.8","90.2","90.6","B","000000","17495","",""
"1150211","163004","2760","巨宇翔","28.95","28.5","3000","28.8","3000","29.7","28.5","28.68","29","B","000000","10022","",""
"1150211","163004","2761","橘焱胡同","17.3","17.1","4833","17.5","3949","17.5","17.1","17.23","17.5","B","000000","11368","",""
"1150211","163004","2938","床的世界","22.79","22.55","3000","22.8","3000","22.9","22.5","22.66","22.65","S","000000","20613","",""
"1150211","163004","2940","歐都納","23.92","24.4","1000","24.55","6000","24.5","24.4","24.46","24.5","B","000000","18955","",""
"1150211","163004","2942","京站","31.39","31","3000","31.5","2993","31.5","31.5","31.5","31.5","B","000000","77","",""
"1150211","163004","3097","拍檔","22.4","21.65","3000","22.6","6000","22.6","22","22.23","22.55","B","000000","15005","",""
"1150211","163004","3117","年程","6.89","6.3","5000","6.5","5000","6.69","6.35","6.46","6.36","S","000000","122254","",""
"1150211","163004","3184","微邦","9.21","11.35","10000","11.9","9900","13.6","9.38","12.07","11.9","B","000000","1078569","",""
"1150211","163004","3473","智通聯網","91.87","91.2","2000","92.5","2999","92.5","91.2","91.31","92.5","B","000000","11005","",""
"1150211","163004","3485","敘豐","169.24","167","2000","171","3000","171","165","168.62","171","B","000000","25904","20260209","E"
"1150211","163004","3585","聯致","15.54","15.25","21500","15.5","25971","16","15.15","15.39","15.5","B","000000","1607026","",""
"1150211","163004","3595","山太士","528.83","529","9880","532","6616","535","519","528.68","532","B","000000","512948","",""
"1150211","163004","3603","建祥國際","6.06","5.95","5000","6.25","5000","6.05","6","6.03","6","S","000000","2000","",""
"1150211","163004","3616","泓辰","25.7","25.15","3000","25.6","4997","26","25.15","25.33","25.6","B","000000","227726","",""
"1150211","163004","3633","云光","91.68","88.7","6000","89.6","2999","90.9","88.5","89.44","89.6","B","000000","33390","",""
